Company Name,Country,Sales,Profit,Assets
UBS,Switzerland,39890000000.0,6550000000.0,1053130000000.0
Cisco Systems,United States,53160000000.0,11300000000.0,95840000000.0
Novartis,Switzerland,50950000000.0,7000000000.0,112240000000.0
United Parcel Service,United States,98550000000.0,10780000000.0,72190000000.0
Coca-Cola,United States,43310000000.0,9870000000.0,97400000000.0
Siemens,Germany,77300000000.0,3740000000.0,153610000000.0
Itaú Unibanco Holding,Brazil,53170000000.0,5750000000.0,441400000000.0
Costco Wholesale,United States,234390000000.0,6050000000.0,66849999999.0
Commonwealth Bank,Australia,25330000000.0,6960000000.0,835780000000.0
Rio Tinto,United Kingdom,55340000000.0,12150000000.0,96740000000.0
Iberdrola,Spain,59550000000.0,4890000000.0,165070000000.0
BBVA-Banco Bilbao Vizcaya,Spain,51940000000.0,6720000000.0,803500000000.0
Hyundai Motor,South Korea,114550000000.0,7020000000.0,203070000000.0
Unilever,United Kingdom,63110000000.0,8050000000.0,83050000000.0
Zurich Insurance Group,Switzerland,41890000000.0,4610000000.0,352120000000.0
Deere & Company,United States,55630000000.0,8189999999.0,91620000000.0
Mitsui,Japan,105570000000.0,8340000000.0,115570000000.0
Honda Motor,Japan,124680000000.0,5380000000.0,182970000000.0
British American Tobacco,United Kingdom,34060000000.0,8150000000.0,184700000000.0
Bristol Myers Squibb,United States,45850000000.0,7310000000.0,94280000000.0
Chubb,Switzerland,44700000000.0,5230000000.0,179830000000.0
Intesa Sanpaolo,Italy,36360000000.0,5830000000.0,1037750000000.0
Munich Re,Germany,79520000000.0,3610000000.0,324750000000.0
Shanghai Pudong Development,China,56250000000.0,7630000000.0,1289670000000.0
Hon Hai Precision,Taiwan,222290000000.0,4750000000.0,134500000000.0
Marathon Petroleum,United States,174050000000.0,16390000000.0,87040000000.0
Thermo Fisher Scientific,United States,43810000000.0,6020000000.0,94660000000.0
Caterpillar,United States,61700000000.0,7110000000.0,83650000000.0
Charles Schwab,United States,23860000000.0,7380000000.0,535600000000.0
Contemporary Amperex Technology,China,53660000000.0,5700000000.0,93160000000.0
Visa,United States,30980000000.0,15480000000.0,86750000000.0
American International Group,United States,51420000000.0,6050000000.0,463770000000.0
Ford Motor,United States,165060000000.0,2890000000.0,256800000000.0
Itochu,Japan,104490000000.0,6260000000.0,103070000000.0
AstraZeneca,United Kingdom,43850000000.0,4730000000.0,96690000000.0
AIRBUS,France,60870000000.0,3630000000.0,128270000000.0
HDFC Bank,India,25470000000.0,5720000000.0,307900000000.0
Credit Agricole,France,51300000000.0,5280000000.0,2313390000000.0
VINCI,France,65440000000.0,4480000000.0,119520000000.0
China Shenhua Energy,China,51980000000.0,8000000000.0,94220000000.0
US Bancorp,United States,31420000000.0,5950000000.0,682380000000.0
China Citic Bank,China,55180000000.0,9330000000.0,1278630000000.0
Broadcom,United States,34410000000.0,12800000000.0,72980000000.0
NextEra Energy,United States,24270000000.0,6680000000.0,165360000000.0
Phillips 66,United States,167870000000.0,12390000000.0,77260000000.0
Bayer,Germany,53330000000.0,4360000000.0,139690000000.0
Charter Communications,United States,54480000000.0,4870000000.0,144870000000.0
Vale,Brazil,41430000000.0,15980000000.0,87720000000.0
NAB - National Australia Bank,Australia,26270000000.0,4990000000.0,702090000000.0
Hitachi,Japan,80290000000.0,4790000000.0,93930000000.0
Abbott Laboratories,United States,41510000000.0,5780000000.0,73790000000.0
Japan Post Holdings,Japan,83790000000.0,3610000000.0,2228090000000.0
ANZ,Australia,28270000000.0,4880000000.0,744230000000.0
Danaher,United States,30950000000.0,6930000000.0,85040000000.0
China Telecom,China,70290000000.0,4099999999.0,119860000000.0
Lloyds Banking Group,United Kingdom,27970000000.0,7050000000.0,1095150000000.0
Capital One,United States,41330000000.0,5840000000.0,471660000000.0
PNC Financial Services,United States,26180000000.0,6280000000.0,561780000000.0
Brookfield Corporation,Canada,94470000000.0,2000000000.0,441280000000.0
PICC,China,93380000000.0,3480000000.0,216230000000.0
Generali Group,Italy,91780000000.0,3060000000.0,552890000000.0
Mizuho Financial,Japan,32030000000.0,4520000000.0,1908300000000.0
Deutsche Post,Germany,96470000000.0,5120000000.0,73180000000.0
Truist Financial,United States,28000000000.0,6360000000.0,574350000000.0
China Pacific Insurance,China,68069999999.0,4160000000.0,300520000000.0
Amgen,United States,25930000000.0,7920000000.0,88720000000.0
KDDI,Japan,42700000000.0,4950000000.0,88020000000.0
Lockheed Martin,United States,66150000000.0,5690000000.0,54620000000.0
Accenture,Ireland,63140000000.0,6940000000.0,47730000000.0
Lowe's,United States,97060000000.0,6410000000.0,45270000000.0
Linde,United Kingdom,33350000000.0,4490000000.0,80310000000.0
ICICI Bank,India,23170000000.0,4240000000.0,238310000000.0
Barclays,United Kingdom,30930000000.0,6500000000.0,1902960000000.0
Valero Energy,United States,174430000000.0,13640000000.0,60180000000.0
Philip Morris International,United States,31810000000.0,8690000000.0,62060000000.0
FedEx,United States,92620000000.0,2990000000.0,85780000000.0
MetLife,United States,69530000000.0,1950000000.0,674270000000.0
Occidental Petroleum,United States,36250000000.0,13220000000.0,74760000000.0
BYD,China,68060000000.0,2890000000.0,79610000000.0
Banco do Brasil,Brazil,53980000000.0,5760000000.0,380270000000.0
Medtronic,Ireland,30770000000.0,4070000000.0,94130000000.0
Banco Bradesco,Brazil,56260000000.0,3490000000.0,357450000000.0
Møller-Maersk,Denmark,76610000000.0,24830000000.0,85490000000.0
IBM,United States,60580000000.0,1830000000.0,133639999999.0
UniCredit,Italy,21030000000.0,6790000000.0,915460000000.0
América Móvil,Mexico,43570000000.0,3840000000.0,88240000000.0
Enel,Italy,132190000000.0,1340000000.0,229910000000.0
Southern Company,United States,29120000000.0,3360000000.0,134759999999.0
Qualcomm,United States,41070000000.0,10540000000.0,48360000000.0
Oversea-Chinese Banking,Singapore,25390000000.0,4170000000.0,417500000000.0
L'Oréal,France,40210000000.0,6000000000.0,49990000000.0
Canadian Imperial Bank,Canada,28830000000.0,3650000000.0,690970000000.0
HCA Healthcare,United States,60880000000.0,5730000000.0,52710000000.0
Duke Energy,United States,29140000000.0,2670000000.0,183340000000.0
Honeywell International,United States,35940000000.0,5230000000.0,59880000000.0
GSK,United Kingdom,35000000000.0,5350000000.0,72450000000.0
Deutsche Bank,Germany,44540000000.0,5590000000.0,1419750000000.0
McKesson,United States,273899999999.0,3140000000.0,62690000000.0
DBS,Singapore,16110000000.0,5940000000.0,554450000000.0
China Everbright Bank,China,41480000000.0,6650000000.0,974220000000.0
Mondelez International,United States,32900000000.0,3940000000.0,72790000000.0
Tokio Marine Holdings,Japan,48670000000.0,2420000000.0,216930000000.0
Union Pacific,United States,25070000000.0,7000000000.0,65970000000.0
Enbridge,Canada,37690000000.0,2109999999.0,130840000000.0
Porsche Automobil Holding,Germany,41270000000.0,5560000000.0,50070000000.0
Westpac Banking Group,Australia,18710000000.0,4050000000.0,653080000000.0
China Railway Group,China,171530000000.0,4370000000.0,232030000000.0
Midea Group,China,52990000000.0,4420000000.0,64190000000.0
ING Group,Netherlands,19510000000.0,3860000000.0,1032900000000.0
Eli Lilly,United States,27690000000.0,5690000000.0,53160000000.0
Humana,United States,95640000000.0,3120000000.0,54780000000.0
Target,United States,109120000000.0,2780000000.0,53340000000.0
Archer Daniels Midland,United States,102280000000.0,4460000000.0,58800000000.0
NatWest Group,United Kingdom,22710000000.0,4700000000.0,860100000000.0
Schneider Electric,France,35920000000.0,3650000000.0,62290000000.0
National Grid,United Kingdom,26720000000.0,4000000000.0,112270000000.0
Qatar National Bank,Qatar,21180000000.0,3840000000.0,323600000000.0
E.ON,Germany,121560000000.0,1930000000.0,163480000000.0
China Minsheng Bank,China,45010000000.0,4700000000.0,1043730000000.0
Nike,United States,50640000000.0,5480000000.0,38290000000.0
Gilead Sciences,United States,26840000000.0,5580000000.0,61880000000.0
RWE Group,Germany,40320000000.0,2860000000.0,188790000000.0
ArcelorMittal,Luxembourg,79530000000.0,9040000000.0,94550000000.0
BlackRock,United States,17390000000.0,4900000000.0,121400000000.0
Suncor Energy,Canada,44920000000.0,6970000000.0,62450000000.0
McDonald's,United States,23410000000.0,6880000000.0,52010000000.0
Canadian Natural Resources,Canada,30420000000.0,7280000000.0,55610000000.0
Nordea Bank,Finland,17970000000.0,4640000000.0,656350000000.0
China Resources Land,Hong Kong,30610000000.0,4139999999.0,155550000000.0
SAP,Germany,32479999999.0,2109999999.0,79890000000.0
Travelers,United States,37790000000.0,2780000000.0,108900000000.0
Netflix,United States,31910000000.0,4200000000.0,49490000000.0
JD.com,China,155260000000.0,1490000000.0,85630000000.0
Dell Technologies,United States,101560000000.0,2440000000.0,89610000000.0
Oil & Natural Gas,India,86060000000.0,5380000000.0,77270000000.0
CK Hutchison,Hong Kong,33520000000.0,4680000000.0,147140000000.0
China Vanke,China,75640000000.0,3330000000.0,253660000000.0
Vodafone,United Kingdom,49740000000.0,2250000000.0,154240000000.0
Volvo Group,Sweden,48070000000.0,3710000000.0,63110000000.0
Seven & I Holdings,Japan,88030000000.0,2089999999.0,77460000000.0
HDFC,India,19040000000.0,3260000000.0,132820000000.0
Bank of New York Mellon,United States,23050000000.0,2780000000.0,425110000000.0
Anglo American,United Kingdom,35050000000.0,4370000000.0,67410000000.0
Mastercard,United States,22820000000.0,9660000000.0,38940000000.0
Novo Nordisk,Denmark,26320000000.0,8539999999.0,36470000000.0
Northrop Grumman,United States,37110000000.0,4780000000.0,44240000000.0
PTT,Thailand,96000000000.0,2610000000.0,98620000000.0
PayPal,United States,27060000000.0,2420000000.0,78720000000.0
ASML Holding,Netherlands,25360000000.0,7160000000.0,38190000000.0
NVIDIA,United States,26970000000.0,4370000000.0,41180000000.0
3M,United States,33430000000.0,5450000000.0,46890000000.0
Poly Developments & Holdings Group,China,40070000000.0,2700000000.0,210720000000.0
General Dynamics,United States,39900000000.0,3390000000.0,52100000000.0
Macquarie Group,Australia,17220000000.0,3430000000.0,260810000000.0
EOG Resources,United States,28430000000.0,9390000000.0,41020000000.0
Takeda Pharmaceutical,Japan,29990000000.0,2089999999.0,102350000000.0
Air Liquide,France,31460000000.0,2900000000.0,52850000000.0
Aflac,United States,19030000000.0,4360000000.0,133870000000.0
Sun Life Financial,Canada,31560000000.0,2400000000.0,240680000000.0
Orange,France,45690000000.0,2049999999.0,120790000000.0
Cosco Shipping,China,58340000000.0,16420000000.0,73620000000.0
Kraft Heinz Company,United States,26930000000.0,2420000000.0,90940000000.0
Nutrien,Canada,37750000000.0,7610000000.0,54590000000.0
Standard Chartered,United Kingdom,28570000000.0,2840000000.0,820680000000.0
KIA,South Korea,70170000000.0,4960000000.0,58290000000.0
Dow,United States,53490000000.0,2900000000.0,59320000000.0
SAIC Motor,China,102500000000.0,1950000000.0,137970000000.0
Centene,United States,146250000000.0,1480000000.0,82980000000.0
The Saudi National Bank,Saudi Arabia,11770000000.0,5090000000.0,260019999999.0
Sumitomo,Japan,50330000000.0,4510000000.0,77250000000.0
EssilorLuxottica,France,25740000000.0,2260000000.0,64629999999.0
"Merck KGaA, Darmstadt, Germany and its affiliates",Germany,23360000000.0,3490000000.0,52340000000.0
Schlumberger,United States,29930000000.0,3870000000.0,43850000000.0
China Railway Construction,China,160590000000.0,3930000000.0,231630000000.0
Kroger,United States,148260000000.0,2220000000.0,52210000000.0
Marubeni,Japan,73470000000.0,4240000000.0,61620000000.0
Holcim,Switzerland,30560000000.0,3450000000.0,62260000000.0
Dai-ichi Life Insurance,Japan,57610000000.0,1980000000.0,480840000000.0
Nippon Steel,Japan,59520000000.0,4920000000.0,71850000000.0
Denso,Japan,47240000000.0,2320000000.0,55670000000.0
Royal Ahold Delhaize N.V.,Netherlands,91420000000.0,2680000000.0,51820000000.0
Inditex,Spain,34100000000.0,4320000000.0,32560000000.0
KBC Group,Belgium,18460000000.0,2950000000.0,379800000000.0
Diageo,United Kingdom,20840000000.0,4410000000.0,46580000000.0
Manulife,Canada,12230000000.0,5600000000.0,591340000000.0
China Unicom,Hong Kong,52780000000.0,2520000000.0,92450000000.0
KB Financial Group,South Korea,44380000000.0,3310000000.0,557090000000.0
SK Hynix,South Korea,34530000000.0,1730000000.0,82140000000.0
Saint-Gobain,France,53810000000.0,3160000000.0,59100000000.0
Cheniere Energy,United States,33299999999.0,7730000000.0,40270000000.0
Daimler Truck Holding,Germany,53540000000.0,2800000000.0,68269999999.0
PKN Orlen,Poland,62440000000.0,7940000000.0,62180000000.0
Zijin Mining Group,China,40310000000.0,2840000000.0,45890000000.0
Kweichow Moutai,China,16649999999.0,9670000000.0,37600000000.0
Telefónica,Spain,42030000000.0,2060000000.0,117020000000.0
AmerisourceBergen,United States,247540000000.0,1620000000.0,58770000000.0
Al Rajhi Bank,Saudi Arabia,10290000000.0,4520000000.0,206780000000.0
Power Construction Corporation of China,China,83900000000.0,1710000000.0,161040000000.0
Repsol,Spain,76120000000.0,4130000000.0,65310000000.0
First Abu Dhabi Bank,United Arab Emirates,13110000000.0,3190000000.0,322750000000.0
Fiserv,United States,18150000000.0,2420000000.0,76550000000.0
Automatic Data Processing,United States,17660000000.0,3260000000.0,59880000000.0
EnBW-Energie Baden,Germany,58860000000.0,1830000000.0,87930000000.0
TJX Cos,United States,49940000000.0,3500000000.0,28350000000.0
Saudi Electricity,Saudi Arabia,19200000000.0,4030000000.0,129009999999.0
CaixaBank,Spain,15430000000.0,3420000000.0,672200000000.0
ABB,Switzerland,30370000000.0,2890000000.0,40040000000.0
Posco,South Korea,63210000000.0,2430000000.0,78820000000.0
Shinhan Financial Group,South Korea,33380000000.0,3460000000.0,534510000000.0
Altria Group,United States,20630000000.0,5580000000.0,36830000000.0
Starbucks,United States,33970000000.0,3550000000.0,28610000000.0
Power Corp of Canada,Canada,55770000000.0,1510000000.0,523000000000.0
CRH,Ireland,32840000000.0,3830000000.0,45190000000.0
International Holding Company,United Arab Emirates,13850000000.0,3440000000.0,62090000000.0
Exelon,United States,19310000000.0,2240000000.0,96920000000.0
Longfor Group Holdings,China,37000000000.0,3570000000.0,113180000000.0
Bank Rakyat Indonesia (BRI),Indonesia,13160000000.0,3450000000.0,119840000000.0
Woodside Energy Group,Australia,16969999999.0,6610000000.0,59320000000.0
American Electric,United States,19720000000.0,1990000000.0,94520000000.0
Ecopetrol,Colombia,33670000000.0,7850000000.0,62450000000.0
Femsa,Mexico,35860000000.0,3460000000.0,44900000000.0
Sempra,United States,18210000000.0,2500000000.0,80550000000.0
Société Générale,France,53330000000.0,1490000000.0,1586810000000.0
Texas Instruments,United States,19500000000.0,8220000000.0,29220000000.0
Applied Materials,United States,26140000000.0,6450000000.0,27960000000.0
Pioneer Natural Resources,United States,22830000000.0,7040000000.0,36110000000.0
Bank of Ningbo,China,14690000000.0,3490000000.0,367560000000.0
Nucor,United States,39730000000.0,6630000000.0,32250000000.0
Cenovus Energy,Canada,47580000000.0,4130000000.0,39900000000.0
Bank Of Jiangsu,China,19880000000.0,3940000000.0,464100000000.0
Micron Technology,United States,23060000000.0,1610000000.0,66519999999.0
Couche Tard,Canada,71780000000.0,2890000000.0,28320000000.0
PG&E,United States,21680000000.0,1810000000.0,128500000000.0
Freeport-McMoRan,United States,22370000000.0,2590000000.0,50910000000.0
Huaxia Bank,China,24860000000.0,3680000000.0,586320000000.0
United Overseas Bank,Singapore,12000000000.0,3320000000.0,375980000000.0
Kering,France,21390000000.0,3800000000.0,36220000000.0
Emirates NBD,United Arab Emirates,14650000000.0,4580000000.0,212980000000.0
Shin-Etsu Chemical,Japan,20730000000.0,5230000000.0,35540000000.0
Gree Electric Appliances,China,27510000000.0,3590000000.0,55970000000.0
Discover Financial Services,United States,16950000000.0,4099999999.0,133060000000.0
Citic Securities,China,13550000000.0,3150000000.0,209610000000.0
Lennar,United States,33979999999.0,4650000000.0,36570000000.0
China Communications Construction,China,106770000000.0,2770000000.0,218830000000.0
PDD Holdings,Ireland,19280000000.0,4630000000.0,34110000000.0
Progressive,United States,52050000000.0,855500000.0,74520000000.0
Berkshire Hathaway,United States,302090000000.0,-22820000000.0,948450000000.0
LG Chem,South Korea,41810000000.0,1390000000.0,53760000000.0
D.R. Horton,United States,33659999999.0,5180000000.0,31170000000.0
Principal Financial Group,United States,17200000000.0,4300000000.0,278530000000.0
Delta Air Lines,United States,53990000000.0,1900000000.0,73130000000.0
Marsh & McLennan,United States,21070000000.0,3210000000.0,34360000000.0
DNB Bank,Norway,12410000000.0,3500000000.0,337710000000.0
Corebridge Financial,United States,26410000000.0,8150000000.0,333440000000.0
Wilmar International,Singapore,73410000000.0,2400000000.0,60400000000.0
Ameriprise Financial,United States,15980000000.0,2210000000.0,166640000000.0
Bank of Beijing,China,18580000000.0,3630000000.0,509660000000.0
Kinder Morgan,United States,18250000000.0,2550000000.0,68930000000.0
Fannie Mae,United States,125570000000.0,12290000000.0,4317460000000.0
LyondellBasell Industries,United Kingdom,47540000000.0,3030000000.0,36260000000.0
Stryker,United States,18950000000.0,2630000000.0,36830000000.0
Dollar General,United States,37840000000.0,2420000000.0,31940000000.0
Japan Tobacco,Japan,20230000000.0,3420000000.0,47690000000.0
HP,United States,58580000000.0,2600000000.0,36150000000.0
Panasonic,Japan,62270000000.0,1690000000.0,60680000000.0
OMV Group,Austria,59730000000.0,3620000000.0,59080000000.0
Paccar,United States,30830000000.0,3150000000.0,34830000000.0
CSX,United States,15150000000.0,4290000000.0,41480000000.0
Becton Dickinson,United States,18810000000.0,1650000000.0,54390000000.0
S&P Global,United States,11950000000.0,2810000000.0,62020000000.0
Eaton,Ireland,21390000000.0,2570000000.0,35520000000.0
Life Insurance Corp. of India,India,100350000000.0,553600000.0,561410000000.0
State Street,United States,14040000000.0,2720000000.0,290820000000.0
Analog Devices,United States,12580000000.0,3430000000.0,50230000000.0
Adobe,United States,17820000000.0,4740000000.0,26670000000.0
Freddie Mac,United States,90360000000.0,7520000000.0,3224980000000.0
Nokia,Finland,26440000000.0,4490000000.0,45600000000.0
Saudi Telecom,Saudi Arabia,17960000000.0,3240000000.0,36510000000.0
AT&T,United States,121170000000.0,-9110000000.0,400870000000.0
Orix,Japan,20050000000.0,2370000000.0,110300000000.0
Banco Btg Pactual,Brazil,15490000000.0,1520000000.0,85350000000.0
National Bank of Canada,Canada,12280000000.0,2550000000.0,313520000000.0
BCE,Canada,18420000000.0,2060000000.0,51700000000.0
Banorte,Mexico,16820000000.0,2260000000.0,106230000000.0
Canadian National Railway,Canada,13390000000.0,4099999999.0,37610000000.0
TAQA,United Arab Emirates,13730000000.0,2190000000.0,49420000000.0
Daikin Industries,Japan,28840000000.0,1890000000.0,31640000000.0
Consolidated Edison,United States,15970000000.0,2490000000.0,62800000000.0
Reckitt Benckiser Group,United Kingdom,17800000000.0,2880000000.0,34570000000.0
Swiss Life Holding,Switzerland,21320000000.0,1520000000.0,234900000000.0
Naturgy Energy Group,Spain,35700000000.0,1730000000.0,43110000000.0
MS&AD Insurance,Japan,37890000000.0,1110000000.0,189300000000.0
Shaanxi Coal Industry,China,23360000000.0,5300000000.0,32710000000.0
Poste Italiane,Italy,29300000000.0,1610000000.0,285670000000.0
General Mills,United States,19950000000.0,2800000000.0,31200000000.0
Tata Consultancy Services,India,27900000000.0,5240000000.0,17480000000.0
Baoshan Iron & Steel,China,52560000000.0,1500000000.0,57270000000.0
SEB AB,Sweden,10840000000.0,2880000000.0,366630000000.0
WM,United States,19930000000.0,2260000000.0,31290000000.0
Erste Group Bank,Austria,17550000000.0,2300000000.0,372570000000.0
Tyson Foods,United States,53610000000.0,2430000000.0,36680000000.0
Booking Holdings,United States,18170000000.0,4019999999.0,25210000000.0
Koç Holding,Turkey,54650000000.0,4480000000.0,86810000000.0
BAE Systems,United Kingdom,26180000000.0,1960000000.0,37850000000.0
Heineken,Netherlands,30180000000.0,1410000000.0,57010000000.0
United Airlines Holdings,United States,48820000000.0,1920000000.0,70420000000.0
Haier Smart Home,China,36130000000.0,2220000000.0,34650000000.0
Johnson Controls International,Ireland,26090000000.0,1390000000.0,43420000000.0
Cummins,United States,30140000000.0,2520000000.0,31430000000.0
Wanhua Chemical Group,China,24040000000.0,2180000000.0,34600000000.0
EDF,France,150790000000.0,-19500000000.0,414230000000.0
Bank Of Shanghai,China,15280000000.0,3280000000.0,432220000000.0
China Yangtze Power,China,8230000000.0,3180000000.0,84400000000.0
BT Group,United Kingdom,26660000000.0,2210000000.0,59760000000.0
CRRC,China,32340000000.0,1740000000.0,65250000000.0
Hartford Financial Services,United States,22880000000.0,1910000000.0,67319999999.0
Dominion Energy,United States,16840000000.0,994000000.0,104240000000.0
Mitsubishi Electric,Japan,36920000000.0,1580000000.0,41950000000.0
Etisalat,United Arab Emirates,14190000000.0,2660000000.0,39950000000.0
Fresenius,Germany,42710000000.0,1440000000.0,81550000000.0
Toyota Tsusho,Japan,72670000000.0,2100000000.0,47910000000.0
Bridgestone,Japan,31250000000.0,1980000000.0,37600000000.0
Fortescue Metals Group,Australia,17050000000.0,5750000000.0,27970000000.0
CEZ Group,Czech Republic,15160000000.0,3460000000.0,48930000000.0
Xcel Energy,United States,15620000000.0,1770000000.0,60950000000.0
ENEOS Holdings,Japan,111200000000.0,2290000000.0,81000000000.0
Bank Mandiri,Indonesia,10000000000.0,2720000000.0,120800000000.0
Talanx,Germany,56190000000.0,1230000000.0,200250000000.0
Hana Financial Group,South Korea,29410000000.0,2800000000.0,449880000000.0
Tesco,United Kingdom,79690000000.0,900400000.0,55850000000.0
Intel,United States,56420000000.0,-2860000000.0,185300000000.0
Axis Bank,India,13210000000.0,1340000000.0,163590000000.0
Nissan Motor,Japan,74280000000.0,982600000.0,128500000000.0
AIA Group,Hong Kong,41670000000.0,282900000.0,297930000000.0
Marriott International,United States,22190000000.0,2740000000.0,24860000000.0
Boeing,United States,70540000000.0,-4130000000.0,136350000000.0
